movie_name,release_year,certificate,duration,genre,star,metascore,votes
Krack,2021,not rated,154 min,"Action, Crime, Thriller",7.3,nil,"5,305"
Hacks,2021– ,not rated,30 min,"Comedy, Drama",8.3,nil,"5,280"
" Love, Death & Robots",2019– ,16,13 min,"Animation, Short, Comedy",6.6,nil,"5,270"
November Story,2021– ,not rated,40 min,"Crime, Thriller",8.0,nil,"5,268"
 Rick and Morty,2013– ,12,nil,"Animation, Adventure, Comedy",9.2,nil,"5,250"
The Last Hour,2021– ,not rated,36 min,"Crime, Drama, Mystery",7.5,nil,"5,233"
 Invincible,2021– ,not rated,46 min,"Animation, Action, Adventure",9.3,nil,"5,229"
Made for Love,2021– ,not rated,30 min,"Comedy, Drama, Sci-Fi",6.9,nil,"5,172"
The Priest,I 2021,not rated,140 min,"Horror, Mystery, Thriller",6.6,nil,"5,046"
Maharani,2021– ,not rated,43 min,Drama,7.5,nil,"5,031"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.5,nil,"4,856"
 Invincible,2021– ,not rated,44 min,"Animation, Action, Adventure",8.6,nil,"4,850"
 The Walking Dead,2010–2022,16,44 min,"Drama, Horror, Thriller",6.2,nil,"4,819"
Flora & Ulysses,2021,6,95 min,"Adventure, Comedy, Family",6.3,62        ,"4,798"
 Jujutsu Kaisen,2020– ,not rated,24 min,"Animation, Action, Adventure",9.7,nil,"4,785"
 The Walking Dead,2010–2022,16,42 min,"Drama, Horror, Thriller",7.3,nil,"4,767"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.6,nil,"4,742"
Katla,2021– ,not rated,nil,"Drama, Mystery, Sci-Fi",7.1,nil,"4,730"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.8,nil,"4,725"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.8,nil,"4,690"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.6,nil,"4,677"
Murder Among the Mormons,2021,16,160 min,"Documentary, Crime, History",7.0,nil,"4,656"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.5,nil,"4,639"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.7,nil,"4,634"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.6,nil,"4,625"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.6,nil,"4,624"
The Legend of Hanuman,2021– ,not rated,25 min,Animation,9.4,nil,"4,611"
 The Walking Dead,2010–2022,16,48 min,"Drama, Horror, Thriller",7.5,nil,"4,594"
